Season,Episode,Title,Airdate,Synopsis,Director,Writers
19,21,Birds of a Feather,"May 23, 2022.","When Parker is framed for murder, the team puts their jobs on the line in order to buy time and uncover the truth.",Terrence O'Hara,Christopher J. Waild
20,1,A Family Matter,"September 19, 2022.","With Parker and his ex-wife Vivian still on the run, the NCIS team investigate who from his past may have a personal vendetta in the hope of clearing Parker's name, enlisting the help of Jane Tennant, the Special Agent in Charge of the NCIS: Hawaii team, and her colleague Ernie Malik, NCIS Hawaii's computer specialist, both of whom are in town meeting with Vance during preparations for a global military exercise. ",Tawnia McKiernan,Scott Williams
20,2,Daddy Issues,"September 26, 2022.","When a man is found dead during a break-in at a government bunker, NCIS investigate while McGee finds himself struggling as his personal life and professional life collide with one another.",Michael Zinberg,Christopher J. Waild
20,3,Unearth,"October 3, 2022.","When a body is found at an ancient burial site that is thought to have a longstanding curse, the NCIS team tries to determine the motive and the symbolism behind the crime and as Torres continues therapy with Dr. Grace, he discovers both their lives are in great danger.",Diana Valentine,Yasemin Yilmaz
20,4,Leave No Trace,"October 10, 2022.","When a Petty Officer is found dead in a campsite, the NCIS team investigate and find themselves working with an agent who's from the National Park Service Law Enforcement Rangers or United States Park Rangers and also an ex-boyfriend of Knight's.",William Webb,Chad Gomez Creasey
20,5,Guardian,"October 17, 2022.","When Vance is attacked during a home invasion, Parker steps in to defend his boss from any further attacks, with the two learning it's connected to an operation that Vance participated in six years ago while the team detects progress in Jessica and Jimmy's blossoming romance.","James Whitmore, Jr",Marco Schnabel
20,6,The Good Fighter,"October 24, 2022.","When an NCIS agent turns up dead and Kasie goes unaccounted for, the team must work quickly to find the killer.",Jose Clemente Hernandez,Kimberly-Rose Wolter
20,7,Love Lost,"November 14, 2022.","When SECNAV Tara Flynn's husband arrives at the Navy Yard, stating she tried to kill him, the NCIS team find themselves reluctantly investigating SECNAV herself to determine if the claims are true.",Rocky Carroll,Brendan Fehily & David J. North
20,8,Turkey Trot,"November 21, 2022.","During protection detail for an Admiral at an annual Thanksgiving 5K, the NCIS team discover a man posing as an NCIS agent attempts to gain access and investigate when the float is destroyed with things growing intense when it's revealed the suspect wants revenge against one of their own.",Lionel Coleman,Diona Reasonover & Scott Williams
20,9,Higher Education,"December 5, 2022.","When a student running across the street dies in a hit-and-run, NCIS investigate, discovering the victim had highly-classified files on his laptop which in the wrong hands could compromise national security and who has connections to McGee's wife, Delilah.",Claudia Yarmy,Katherine Beattie
20,10,Too Many Cooks,"January 9, 2023.","Members of the NCIS teams in Los Angeles and Hawaii all descend on D.C. to attend the upcoming retirement party of a beloved professor and a former Marine who worked as an instructor at FLETC, only to find themselves working with their D.C. counterparts to investigate the circumstances of his shocking suicide.",Michael Zinberg,Christopher J. Waild
20,11,Bridges,"January 16, 2023.","As the NCIS team investigate the unusual murder of a Navy Ensign, Parker discovers he's become a victim of identity theft while Knight and Jimmy face hurdles in their relationship as their connection grows.",Lionel Coleman,Chad Gomez Creasey
20,12,Big Rig,"January 23, 2023.","When an old pal of Torres's comes to him for guidance, dishevelled and bloodied amidst an undercover FBI operation and then disappears, NCIS race to track him down before it's too late while McGee prepares to be a contestant on a popular game show.",Rocky Carroll,Marco Schnabel
20,13,Evil Eye,"February 6, 2023.","As a world-renowned actress shadows the NCIS team in preparation for an upcoming role, they investigate a decapitation case which has them racing to track down and apprehend a serial killer who's targeting people with heterochromia.",Michael Zinberg,Brendan Fehily & Kimberly-Rose Wolter
20,14,Old Wounds,"February 13, 2023.","When a Navy officer who was transporting millions of dollars worth of opioids is murdered, the team investigate while Parker struggles with his emotions when it's revealed that a conman he was after in the past is now a prime suspect.",Diana Valentine,Brian Dietzen & Scott Williams
20,15,Unusual Suspects,"February 27, 2023.",NCIS investigates when a ride-share driver is found dead after a car accident while Parker's father who is temporarily living with him helps the team with the case.,"James Whitmore, Jr",Katherine Beattie
20,16,Butterfly Effect,"March 13, 2023.","When a potential biological terrorist attack occurs in the parking garage of a strip mall, NCIS investigate while Knight struggles as her father in Japan deals with a health scare.",Tawnia McKiernan,Christopher J. Waild
20,17,Stranger in a Strange Land,"March 20, 2023.",NCIS works to solve the murder of a Marine Private who appears to have been murdered for helping an Afghan refugee with the investigation leading them to a violent white supremacist group while Jimmy navigates the pressure of parenting his daughter who's eager to go out on an unchaperoned group date.,"James Whitmore, Jr",Chad Gomez Creasey
20,18,Head Games,"April 10, 2023.",The NCIS team digs deep to investigate a Navy Lieutenant who's accused of trying to murder her husband but has no memory of the attack while Kasie navigates a potential medical scare.,Michael Zinberg,Sydney Mitchel
20,19,In the Spotlight,"May 1, 2023.","As Knight goes viral for saving a mother and her young son from a potentially fatal car accident, the NCIS team investigate and discover it's connected to an ongoing DEA case.",Rocky Carroll,Yasemin Yilmaz
20,20,Second Opinion,"May 8, 2023.","As NCIS works to solve the murder of a Senator's daughter and a Navy Petty officer who had a rebellious reputation and large online following, Jimmy finds himself getting competitive with an old college rival who's also working on the case.",Tawnia McKiernan,Marco Schnabel
20,21,Kompromat,"May 15, 2023.","When a suspicious murder occurs in the classified section of the National Archive, NCIS investigates and discovers that a group of Russian spies who they exposed and arrested over the last year might be linked to the crime while Jimmy accidentally makes a confession that could change the course of his relationship with Knight.",Lionel Coleman,Scott Williams
20,22,Black Sky,"May 22, 2023.","After learning of an impending terrorist attack, the NCIS team race to stop it from occurring on U.S. soil with Torres going undercover at a prison.",Diana Valentine,Brendan Fehily & David J. North
21,1,Algún Día,"February 12, 2024.",The NCIS team must help Torres when he puts his future at stake by confronting the man who tormented his family when he was a child.,Diana Valentine,Christopher J. Waild
21,2,The Stories We Leave Behind,"February 19, 2024.","As NCIS mourns the loss of Ducky, the agents find comfort in working on one of his unfinished cases involving a young woman whose father was dishonorably discharged from the Marines.",Michael Zinberg,Brian Dietzen & Scott Williams
21,3,Lifeline,"February 26, 2024.","When the NCIS team engages in Walk-a-Mile day to gain a new perspectives on different departments, things take a turn when Kasie receives a distress call from a mysterious man.",Rocky Carroll,Marco Schnabel
21,4,Left Unsaid,"March 4, 2024.","When an officer goes missing during his wedding proposal, the NCIS team race against time to find him before it's too late.",Daniela Ruah,Yasemin Yilmaz
21,5,The Plan,"March 25, 2024.","With the help of Knight's father, the NCIS team work to unravel the mystery of a recently-used service weapon belonging to a missing agent while McGee is in a tailspin when DNA results reveal a close relative he was unaware of.",Lionel Coleman,Katherine Beattie & Chad Gomez Creasey
21,6,Strange Invaders,"April 1, 2024.","After discovering a navy pilot's body riddled with unusual wounds, NCIS's investigation draws the team into the rabbit hole of UFO conspiracy theories.",Claudia Yarmy,Gina Gold & Aurorae Khoo & Steve D. Binder
21,7,A Thousand Yards,"April 15, 2024.","While at his wife's graveside, Vance is shot and wounded, sending the NCIS team on a race to find out who's responsible with the team soon discovering it's connected to a case that retired NCIS Special Agent Leroy Jethro Gibbs worked on twenty years ago as Vance tries to mend fences with his estranged son, Jared.",Diana Valentine,Christopher J. Waild
